Player,Age,Team,Pos,G,GS,MP,+/- Per 100 PossOnCourt,+/- Per 100 PossOn-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
KZ Okpala,21,MIA,PF,37,9,447,-7.5,-8.6,6,3,24,4,9,2,48,3,9,okpalkz01
Josh Green,20,DAL,SG,39,5,445,2,-0.3,9,5,15,1,14,5,70,5,8,greenjo02
Langston Galloway,29,PHX,SG,40,0,438,2.9,-3.7,7,0,12,4,11,1,63,4,1,gallola01
Tyler Cook,23,TOT,SF,32,1,438,-4,0,8,5,13,4,21,0,41,7,8,cookty01
Al-Farouq Aminu,30,TOT,PF,23,14,434,-6.9,0.6,15,6,13,4,12,1,75,6,5,aminual01
D.J. Wilson,24,TOT,PF,35,1,433,-11.7,-7.3,11,6,32,3,12,5,57,3,10,wilsodj01
Isaac Bonga,21,WAS,SF,40,8,432,-1.5,0.4,9,4,29,2,4,9,52,2,1,bongais01
Dennis Smith Jr.,23,TOT,PG,23,9,420,-2.1,2.4,14,8,16,2,6,1,182,1,12,smithde03
Anthony Lamb,23,HOU,SF,24,3,415,-10.8,-3.1,10,5,15,2,9,5,59,1,7,lamban01
Brodric Thomas,24,TOT,SG,32,1,399,-5.3,3.2,9,9,23,3,19,2,70,2,7,thomabr01
Zeke Nnaji,20,DEN,PF,42,1,397,-7.9,-14.3,3,1,21,1,6,1,23,1,8,nnajize01
Amir Coffey,23,LAC,SG,44,1,394,-2.4,-10,7,5,13,0,14,2,56,1,7,coffeam01
Freddie Gillespie,23,TOR,PF,20,2,392,-10.2,-10.6,5,1,24,2,16,2,18,1,8,gillefr01
E'Twaun Moore,31,PHX,SG,27,1,389,-0.4,-7.3,11,4,12,4,5,1,93,0,11,mooreet01
Isaiah Joe,21,PHI,SG,41,1,383,-0.3,-6.7,7,3,14,1,6,15,46,0,2,joeis01
Glenn Robinson III,27,SAC,SF,23,2,369,-16.1,-14,3,6,12,0,9,1,50,1,8,robingl02
Nico Mannion,19,GSW,PG,30,1,364,-9.3,-11.3,18,5,19,1,12,5,168,2,7,mannini01
Trey Lyles,25,SAS,PF,23,9,358,-14.7,-14.4,3,1,10,1,12,0,31,1,0,lylestr01
Abdel Nader,27,PHX,SF,24,0,355,3.7,-2.8,4,4,16,7,19,4,44,4,7,naderab01
Harry Giles,22,POR,C,38,0,348,-8,-11.1,9,6,33,5,10,2,73,3,8,gilesha01
Luke Kornet,25,TOT,C,31,2,348,5.8,5.7,4,3,14,0,4,1,60,2,2,kornelu01
Jahlil Okafor,25,DET,C,27,2,347,-10.3,-6.4,8,4,29,4,13,3,30,2,14,okafoja01
Chandler Hutchison,24,TOT,SF,25,1,346,-6.3,-5.1,6,5,18,3,13,4,42,3,7,hutchch01
Josh Hall,20,OKC,SF,21,1,336,-13.9,-3.4,7,10,26,3,24,0,68,4,10,halljo01
Mason Jones,22,TOT,SG,32,1,334,-12.9,-6.4,19,2,13,2,29,0,101,6,5,jonesma05
Shaquille Harrison,27,TOT,SG,34,0,333,-8.2,-14.5,3,2,15,2,9,0,66,2,9,harrish01
Matt Thomas,26,TOT,SG,45,0,326,-10.1,-14.2,6,3,14,0,4,0,47,2,5,thomama02
Kelan Martin,25,IND,SF,35,0,322,13.9,15.3,5,7,12,3,5,0,40,2,8,martike03
Frank Ntilikina,22,NYK,PG,33,4,322,-1.5,-4.4,8,3,18,0,5,4,48,1,3,ntilila01
Jaylen Hoard,21,OKC,SF,19,0,320,-8.9,2.1,9,5,12,0,22,1,52,3,14,hoardja01
JaKarr Sampson,27,IND,PF,29,4,316,0.4,0.5,4,4,27,1,16,3,9,4,7,sampsja02
Justin James,24,SAC,SF,36,0,310,-8.1,-4.9,6,6,11,1,18,2,51,2,9,jamesju01
Luka Šamanić,21,SAS,PF,33,4,308,-5.6,-4.3,6,5,27,4,14,2,32,4,8,samanlu01
Jerome Robinson,23,WAS,SG,17,6,305,-15.6,-15.1,13,3,19,1,10,9,59,3,5,robinje01
Trent Forrest,22,UTA,PG,30,0,302,-5.8,-16.8,10,6,9,2,9,0,119,1,3,forretr01
Ed Davis,31,MIN,C,23,7,299,-7.8,-2.6,1,0,36,6,6,2,53,0,8,davised01
Paul Watson,26,TOR,SF,27,2,297,-1.8,-1.1,2,1,19,4,3,1,44,0,9,watsopa01
Romeo Langford,21,BOS,SG,18,4,283,-10.9,-12.9,7,2,15,0,7,8,29,2,5,langfro01
Vlatko Čančar,23,DEN,PF,41,1,281,-17,-23.8,8,3,10,0,6,1,34,3,5,cancavl01
Mfiondu Kabengele,23,TOT,PF,39,0,280,-14.4,-11.5,5,4,25,3,11,1,41,2,3,kabenmf01
Nathan Knight,23,ATL,PF,33,0,279,-3.2,-6.3,3,2,12,4,22,1,21,2,10,knighna01
Carsen Edwards,22,BOS,SG,31,1,276,-5.2,-6.7,3,2,13,0,7,3,37,2,5,edwarca01
Jordan Nwora,22,MIL,SF,30,2,274,1,-5,10,7,11,1,8,1,15,1,14,nworajo01
Boban Marjanović,32,DAL,C,33,3,271,3.6,1.4,3,7,16,1,19,0,21,4,15,marjabo01
Thomas Bryant,23,WAS,C,10,10,271,-3.3,-1.6,2,4,18,4,16,3,35,10,2,bryanth01
