Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off., Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Ben Simmons,28,TOT,PG,51,24,1120,-2.2,2.8,66,16,47,12,17,13,710,5,10,simmobe01
Ja'Kobe Walter,20,TOR,SG,52,18,1103,-3.1,1.6,22,16,58,3,43,10,192,10,39,walteja01
Jaxson Hayes,24,LAL,C,56,35,1093,3.9,3.1,14,6,95,19,47,7,152,12,11,hayesja02
Cameron Payne,30,NYK,PG,72,5,1090,9.5,7.4,27,14,52,4,22,18,479,5,12,payneca01
Jonathan Isaac,27,ORL,PF,71,1,1090,-1.6,-1.6,12,8,54,10,40,1,91,8,14,isaacjo01
DaQuan Jeffries,27,CHA,SG,47,20,1071,-12.1,-3.7,18,11,70,1,14,2,129,2,17,jeffrda01
Jusuf Nurkić,30,TOT,C,51,32,1063,-8.9,-3.7,42,23,71,30,63,2,286,15,16,nurkiju01
Seth Curry,34,CHA,SG,68,14,1062,-8.8,0.8,16,13,26,1,16,5,149,6,7,curryse01
Cody Williams,20,UTA,SG,50,21,1060,-14.5,-7.3,16,20,52,3,20,2,149,4,17,willico04
Isaac Okoro,24,CLE,SG,55,22,1053,14.1,5.9,8,6,58,6,20,5,165,2,19,okorois01
Oso Ighodaro,22,PHX,PF,61,6,1045,0.5,4.4,17,15,65,6,20,1,166,5,15,ighodos01
Jared Butler,24,TOT,SG,60,17,1044,-6.3,2.2,59,16,49,2,43,4,510,16,39,butleja02
Jamison Battle,23,TOR,SF,59,10,1042,-8.9,-6.3,14,8,42,1,6,6,133,1,14,battlja01
Noah Clowney,20,BKN,PF,46,20,1042,-13.4,-8.1,14,14,58,10,37,13,103,6,28,clownno01
Alex Caruso,30,OKC,SG,54,3,1041,15.2,2.9,26,7,50,3,28,17,336,9,14,carusal01
Kris Murray,24,POR,SF,69,6,1040,-1.5,2.4,19,17,34,3,26,5,167,5,20,murrakr01
Dejounte Murray,28,NOP,PG,31,31,1012,-10,-0.5,62,36,21,3,56,1,543,11,20,murrade01
Jalen Suggs,23,ORL,PG,35,35,1002,0.4,1.2,55,28,43,8,43,20,296,10,17,suggsja01
Kyle Anderson,31,TOT,PF,61,4,1002,-0.7,-3.3,25,6,40,2,32,4,359,9,17,anderky01
Brandon Boston Jr.,23,NOP,SG,42,10,993,-7.5,2.9,27,17,33,5,39,8,230,3,24,bostobr01
Dalen Terry,22,CHI,SG,73,5,987,-7.5,-8.4,26,13,65,2,31,3,235,5,17,terryda01
Andre Jackson Jr.,23,MIL,SG,67,43,980,-1,-4.4,34,8,51,9,13,7,211,2,7,jacksan01
Zach Collins,27,TOT,PF,64,12,977,-1.7,0.5,21,21,81,13,35,7,259,8,19,colliza01
Trayce Jackson-Davis,24,GSW,C,62,37,967,-2.5,-7.9,18,9,44,16,57,0,269,16,43,jackstr02
Thomas Bryant,27,TOT,C,66,8,963,-1.1,-4.4,14,5,48,6,32,4,118,9,17,bryanth01
Jalen Smith,24,CHI,C,64,2,962,-1,0.4,13,7,59,12,43,7,157,13,14,smithja04
Jordan Clarkson,32,UTA,SG,37,9,962,-10.2,-1.4,37,34,24,6,58,2,333,14,37,clarkjo01
Gary Payton II,32,GSW,SG,62,11,927,6.9,4.4,19,4,38,13,19,2,206,10,20,paytoga02
Brandon Miller,22,CHA,SF,27,27,924,-7,3.1,32,26,27,12,34,4,237,6,21,millebr02
Bruce Brown,28,TOT,PG,41,12,922,-12,-5,18,19,32,1,31,1,202,8,22,brownbr01
Immanuel Quickley,25,TOR,PG,33,33,918,-2,3,34,14,26,6,59,3,449,11,25,quickim01
Trendon Watford,24,BKN,PF,44,6,913,-4.3,4.1,29,29,43,15,61,5,297,14,36,watfotr01
KJ Martin,24,TOT,PF,43,16,912,-6.9,1,12,10,61,1,26,1,121,9,20,martike04
Jaden Hardy,22,DAL,SG,57,3,907,-4.1,-3.7,32,34,49,8,38,9,188,7,24,hardyja02
Day'Ron Sharpe,23,BKN,C,50,2,907,1.8,12.1,21,16,45,19,33,2,215,8,27,sharpda01
Adem Bona,21,PHI,C,58,11,905,-6.7,-0.4,18,18,68,22,47,2,64,14,13,bonaad01
Tre Jones,25,TOT,PG,46,9,905,-2.5,-0.4,18,12,24,3,28,11,485,10,18,jonestr01
